K_values,Eigenvalues
0.0,7.631673071273366e-12 - 4.243978999487591im
0.0,1.0348027990048134e-11 - 4.243976459838452im
0.0,7.41608182271614e-12 - 4.2439746491424755im
0.0,4.139212306242279e-11 - 1.3636289679134876im
0.0,1.0348027990048134e-11 - 4.2439765075221665im
0.0,1.1497802709925568e-11 - 4.24397472979294im
0.0,2.0696061531211394e-11 - 3.4973687779779237im
0.0,7.76101682919976e-12 - 4.243974857311699im
0.0,1.0348027990048134e-11 - 4.243977091647686im
0.0,2.4835267176115525e-11 - 4.243976800292732im
0.0,2.069605598009627e-11 - 4.24397836054365im
0.0,1.6556844784077015e-11 - 0.6780557663738719im
0.0,1.224515933095922e-11 - 4.243976560443021im
0.0,2.4835267176115525e-11 - 4.243976261019708im
0.0,8.27841795114641e-12 - 4.24397519350052im
0.0,5.174011219466506e-12 - 4.243975648377093im
0.0,7.761015904013904e-12 - 4.24397541722283im
0.0,1.2417631367611713e-11 - 4.243975411653521im
0.0,5.174011219466506e-12 - 4.243975890707226im
0.0,1.6556844784077015e-11 - 4.243977111876013im
0.0,1.6556844784077015e-11 - 4.243977290689946im
0.0,2.2577511577475842e-11 - 4.243977086246014im
0.0,1.0348027990048134e-11 - 4.243977030552926im
0.0,1.0348027990048134e-11 - 4.243978262878955im
0.0,1.0348022438933012e-11 - 4.243974701408297im
0.0,1.0348022438933012e-11 - 4.24397469116375im
0.0,5.174011219466506e-12 - 4.24397484334186im
0.0,8.27841795114641e-12 - 4.243974847346547im
0.0,7.76101682919976e-12 - 4.243975375685842im
0.0,2.069602267340553e-12 - 4.243975914902986im
0.0,1.0348027990048134e-11 - 4.24397673867643im
0.0,6.208811242913758e-12 - 4.24397764939815im
0.0,4.139208975573204e-12 - 4.243976373001935im
0.0,1.2417626926719615e-11 - 4.243975208550693im
0.0,4.139208975573205e-12 - 4.243974722176791im
0.0,2.069605375965022e-11 - 4.243974632322789im
0.0,4.139208975573205e-12 - 4.243974698334933im
0.0,1.2935041926454072e-12 - 4.24397467323579im
0.0,5.174009369094798e-12 - 4.243974821911092im
0.0,4.3780090663858806e-12 - 4.243975431314458im
0.0,1.0348027990048134e-11 - 4.243976610526444im
0.0,2.069605598009627e-11 - 4.2439781317487375im
0.0,6.208811242913758e-12 - 4.243977888226512im
0.0,2.069605598009627e-11 - 4.243978358246387im
0.0,5.174011219466506e-12 - 4.243977848906072im
0.0,2.069605598009627e-11 - 4.243975951708853im
0.0,4.434863587476935e-12 - 4.2439777459151005im
0.0,5.174011219466506e-12 - 4.243977853097023im
0.0,2.5870028341756914e-12 - 3.4973687667244424im
0.0,3.2925500709718115e-12 - 4.243976362058047im
0.0,2.5870028341756914e-12 - 4.243976215505973im
0.0,7.2436160773274495e-12 - 4.243979329783472im
0.0,1.2401216561589338e-11 - 4.243976975006186im
0.0,3.44934081297767e-12 - 4.243975251168014im
0.0,4.434865173509827e-12 - 4.243975655468449im
0.0,1.0348024024965904e-11 - 4.243977695517244im
0.0,1.8683971036992474e-12 - 4.243977683769645im
0.0,3.6218050780689926e-12 - 4.243977714935321im
0.0,5.174005668351383e-12 - 4.243977891840044im
0.0,4.643343829094181e-12 - 4.243979322759866im
0.0,2.5870028341756914e-12 - 4.2439794543664915im
0.0,8.407766149964901e-12 - 4.243978109548335im
0.0,3.880512577936222e-12 - 4.243975223057595im
0.0,1.2935041926454072e-12 - 4.243975246930496im
0.0,6.208811242913758e-12 - 4.2439748244732645im
0.0,6.208815683805856e-12 - 4.243974423184992im
0.0,1.2935041926454072e-12 - 4.243974747741596im
0.0,1.2935041926454072e-12 - 4.243975296942519im
0.0,1.7246775436368506e-12 - 4.2439790204123025im
0.0,5.174009369094798e-12 - 4.243976383314779im
0.0,6.865517556174367e-12 - 4.2439788983967635im
0.0,6.093845428267773e-12 - 4.243977525356332im
0.0,1.9761858816025426e-12 - 4.2439754562775835im
0.0,5.1740195461391906e-12 - 4.2439794504083705im
0.0,6.208811242913758e-12 - 4.243976421952248im
0.0,4.258452849607412e-12 - 4.243977141190215im
0.0,3.8805092472671475e-12 - 4.243978952572992im
0.0,4.656608432185318e-12 - 4.243978917635977im
0.0,9.313221305262734e-12 - 4.243978891298175im
0.0,6.46750986099679e-12 - 4.243977583572271im
0.0,2.5870028341756914e-12 - 4.243976407870651im
0.0,5.174011836257075e-12 - 4.2439769374310155im
0.0,1.7246685561171276e-12 - 4.243975309427416im
0.0,3.0660807226468184e-12 - 4.243977176591203im
0.0,3.249203128774541e-12 - 4.243977147680268im
0.0,2.5870028341756914e-12 - 4.243977598287167im
0.0,2.5870028341756914e-12 - 4.243977640196683im
0.0,1.3430082046461747e-11 - 4.243976890959743im
0.0,2.0440633312952326e-12 - 4.2439771566415185im
0.0,1.5522028107284394e-12 - 4.243976927557961im
0.0,5.174005668351383e-12 - 4.243977556563916im
0.0,2.9186738496142014e-12 - 4.243976914809429im
0.0,4.8306914024465445e-12 - 4.2439753362036186im
0.0,3.0181745991342425e-12 - 4.243976909155027im
0.0,2.8744229219057764e-13 - 4.243976919632406im
0.0,1.270880622961108e-12 - 4.2439753488567105im
0.0,5.748845843811553e-13 - 4.243976897994679im
0.0,6.316680511986337e-13 - 4.243979425159182im
0.0,8.27841795114641e-12 - 4.2439793364703675im
0.0,1.2935041926454072e-12 - 4.243979403888808im
0.0,3.104405621456879e-12 - 4.243979375846685im
0.1,1.2417633588057762e-11 - 4.244416370540857im
0.1,1.264758668166154e-11 - 4.244416930298837im
0.1,2.7594748708281858e-11 - 4.244417020512952im
0.1,2.4835267176115525e-11 - 4.244413702189922im
0.1,4.139211640108464e-11 - 4.2444152922928335im
0.1,2.7594748708281858e-11 - 2.772213386081986im
0.1,7.76101682919976e-12 - 4.244409248465673im
0.1,1.3797370653397511e-11 - 4.244408775816361im
0.1,2.069605598009627e-11 - 4.244413636873166im
0.1,1.6556844784077015e-11 - 4.244414995759727im
0.1,1.182631611687926e-11 - 4.244415299754059im
0.1,7.761015904013904e-12 - 4.244416934608792im
0.1,8.358018550762442e-12 - 4.244417031102168im
0.1,2.4835267176115525e-11 - 4.24441735893488im
0.1,1.1826317702912154e-11 - 4.244417690485715im
0.1,1.0348030765605695e-11 - 4.244416516553611im
0.1,1.4608980691832662e-11 - 4.244415111708291im
