q,k,omega
1.19225, 0.6, -4.050018310546875
1.19225, 0.6, -3.562078857421875
1.19225, 0.6, -3.4712341308593744
1.19225, 0.6, -2.906085205078125
1.19225, 0.6, -2.483831787109375
1.19225, 0.6, -2.3141662597656247
1.19225, 0.6, -2.069561767578125
1.19225, 0.6, -1.9362487792968754
1.19225, 0.6, -1.475958251953125
1.19225, 0.6, -1.382598876953125
1.19225, 0.6, -1.1570739746093746
1.19225, 0.6, -0.8501281738281247
1.19225, 0.6, -0.7738952636718749
1.19225, 0.6, -0.6966613769531251
1.19225, 0.6, -0.5785339355468747
